Id,dia_de_la_semana,dia,mes,ano,contador_ruta_reforma222,contador_ruta_revolucion,contador_ruta_patriotismo
338,jueves,7,julio,2016,237,705,842
339,jueves,2,junio,2016,2254,NA,NA
340,miércoles,11,mayo,2016,2023,NA,NA
341,domingo,29,mayo,2016,1395,NA,NA
342,lunes,30,mayo,2016,2518,NA,NA
343,miércoles,12,agosto,2015,2652,NA,NA
344,jueves,17,septiembre,2015,1597,NA,NA
345,viernes,2,octubre,2015,2616,NA,NA
346,lunes,5,octubre,2015,2692,NA,NA
347,miércoles,23,diciembre,2015,1983,NA,NA
348,viernes,25,diciembre,2015,650,NA,NA
349,lunes,28,diciembre,2015,1788,NA,NA
350,domingo,3,enero,2016,939,NA,NA
351,domingo,15,noviembre,2015,842,NA,NA
352,martes,24,noviembre,2015,2773,NA,NA
353,sábado,5,diciembre,2015,1197,NA,NA
354,jueves,4,febrero,2016,2694,NA,NA
355,martes,9,febrero,2016,2179,NA,NA
356,lunes,1,febrero,2016,1044,NA,NA
357,lunes,18,enero,2016,25,NA,NA
358,miércoles,19,agosto,2015,2627,NA,NA
359,sábado,29,agosto,2015,1309,NA,NA
360,viernes,31,julio,2015,2533,NA,NA
361,viernes,7,agosto,2015,2561,NA,NA
362,martes,14,julio,2015,2823,NA,NA
363,miércoles,17,junio,2015,2163,NA,NA
364,martes,16,junio,2015,2708,NA,NA
365,martes,9,junio,2015,2902,NA,NA
366,lunes,22,junio,2015,2384,NA,NA
367,domingo,12,abril,2015,1284,NA,NA
368,sábado,9,mayo,2015,174,NA,NA
369,jueves,4,junio,2015,2495,NA,NA
370,lunes,25,mayo,2015,2023,NA,NA
371,sábado,24,septiembre,2016,1171,569,534
372,martes,23,agosto,2016,2404,747,860
373,martes,16,agosto,2016,2359,753,819
374,jueves,2,mayo,2019,3839,1170,1295
375,jueves,3,enero,2019,2978,655,796
376,domingo,13,enero,2019,1733,601,685
377,viernes,18,enero,2019,3923,554,1303
378,martes,26,febrero,2019,4034,1068,1427
379,viernes,1,marzo,2019,3885,895,1319
380,jueves,28,marzo,2019,4182,1013,1419
381,miércoles,24,abril,2019,4214,1097,1392
382,jueves,10,noviembre,2016,2245,626,676
383,jueves,3,noviembre,2016,2514,834,957
384,miércoles,22,noviembre,2017,3343,1166,1357
385,sábado,18,noviembre,2017,1704,679,612
386,viernes,8,diciembre,2017,3186,1067,1155
387,lunes,30,octubre,2017,NA,NA,1156
388,miércoles,7,febrero,2018,3408,12,1342
389,martes,12,junio,2018,2433,886,1062
390,martes,15,mayo,2018,3426,1244,141
391,martes,3,julio,2018,2693,826,108
392,lunes,2,julio,2018,2572,846,1001
393,sábado,14,abril,2018,1811,427,694
394,domingo,9,septiembre,2018,1597,600,735
395,viernes,24,agosto,2018,2478,892,NA
396,jueves,30,agosto,2018,2803,805,NA
397,domingo,17,diciembre,2017,985,457,425
398,sábado,3,febrero,2018,1419,643,584
399,domingo,28,enero,2018,NA,510,649
400,viernes,14,diciembre,2018,3518,849,1065
401,domingo,26,febrero,2017,1223,587,1004
402,domingo,30,abril,2017,1307,558,837
403,martes,18,abril,2017,2209,787,1007
404,viernes,5,mayo,2017,2692,969,1119
405,lunes,24,abril,2017,2871,117,924
406,lunes,8,mayo,2017,2637,907,1114
407,sábado,19,agosto,2017,NA,652,512
408,miércoles,4,octubre,2017,NA,NA,1064
409,jueves,19,octubre,2017,NA,NA,1161
410,viernes,25,agosto,2017,NA,945,NA
411,domingo,18,noviembre,2018,1538,519,587
412,domingo,2,diciembre,2018,1729,532,619
413,jueves,6,diciembre,2018,3651,964,1143
414,miércoles,14,diciembre,2016,2857,974,1125
415,jueves,24,noviembre,2016,2784,955,1081
416,jueves,29,diciembre,2016,2124,692,622
417,martes,22,noviembre,2016,276,869,1056
418,lunes,21,noviembre,2016,1192,511,525
419,domingo,30,septiembre,2018,1574,626,1697
420,jueves,27,septiembre,2018,3261,880,678
421,viernes,9,noviembre,2018,3857,655,1222
422,jueves,4,octubre,2018,288,948,1404
423,jueves,6,julio,2017,4899,991,1107
424,viernes,11,agosto,2017,NA,905,1006
425,domingo,6,agosto,2017,NA,620,552
426,lunes,7,agosto,2017,NA,974,104
427,jueves,21,noviembre,2013,2215,NA,NA
428,domingo,1,diciembre,2013,957,NA,NA
429,martes,10,diciembre,2013,264,NA,NA
430,lunes,23,diciembre,2013,1502,NA,NA
431,jueves,15,febrero,2018,3375,1229,1313
432,jueves,8,marzo,2018,3404,5926,1351
433,viernes,9,marzo,2018,2787,4004,1176
434,sábado,24,marzo,2018,1746,703,844
435,lunes,2,abril,2018,2937,996,1106
436,domingo,15,abril,2018,1251,661,589
437,domingo,29,abril,2018,1396,554,791
438,viernes,1,junio,2018,2968,1052,1193
439,domingo,8,julio,2018,1058,548,509
440,jueves,12,julio,2018,3015,905,1095
441,viernes,20,julio,2018,2659,851,970
442,sábado,4,agosto,2018,1327,522,516
443,miércoles,15,agosto,2018,2165,832,NA
444,lunes,17,septiembre,2018,2663,872,1061
445,domingo,23,septiembre,2018,1291,518,612
446,miércoles,3,octubre,2018,3482,1067,1273
447,viernes,12,octubre,2018,3424,1011,1231
448,sábado,20,octubre,2018,2085,472,642
449,martes,23,octubre,2018,3811,1098,1357
450,jueves,25,octubre,2018,3868,992,1282
451,miércoles,31,octubre,2018,3465,903,1225
452,sábado,24,noviembre,2018,1907,639,696
453,domingo,9,diciembre,2018,1505,358,579
454,lunes,10,diciembre,2018,3459,814,1159
455,jueves,13,diciembre,2018,3635,722,1136
456,viernes,13,junio,2014,2439,NA,NA
457,miércoles,10,septiembre,2014,2272,NA,NA
458,domingo,14,septiembre,2014,997,NA,NA
459,jueves,11,septiembre,2014,2198,NA,NA
460,viernes,5,septiembre,2014,2289,NA,NA
461,sábado,30,agosto,2014,1355,NA,NA
462,domingo,24,agosto,2014,1136,NA,NA
463,viernes,22,agosto,2014,2427,NA,NA
464,sábado,19,julio,2014,1392,NA,NA
465,sábado,26,julio,2014,1629,NA,NA
466,jueves,7,agosto,2014,2237,NA,NA
467,lunes,28,julio,2014,1638,NA,NA
468,lunes,4,agosto,2014,2187,NA,NA
469,domingo,2,marzo,2014,1145,NA,NA
470,viernes,2,mayo,2014,2358,NA,NA
471,martes,4,marzo,2014,2776,NA,NA
472,lunes,19,mayo,2014,2514,NA,NA
