PUNTO_LEV,ID_UNICO,FOLIO,CALLE_LEV,CALLE_1,CALLE_2,RESUL,F1,P1,MUNORI,P2_COL,P2_REF1,P2_REF2,P3,MUNDES,P4_COL,P4_REF1,P4_REF2,P5,P6,P7_HR,P7_MIN,P8_HR,P8_MIN,P9,P9_1,P10,P11,P11_1,P12,P13,P14_1,P14_2,P14_3,P14_4,P15,P16_1,P16_2,P16_3,P16_4,P16_5,P16_6,P16_7,P16_8,P17,P17_1,P17_2,P17_3,P18,P19,P20,P21_NIVEL,NIVEL,P21_AÑO,P22,P23,P23_1,P24,P24_1,P25,P26_1,P26_2,P26_3,P26_4,P26_5,P26_6,P26_7,P26_8,P27,FACTOR
137,2158,2,AV. SAN JERONOIMO,DEL ROSAL,,1,26,1,09008,POTRERILLO,,,7,09008,POTRERILLO,,,5,6,10,10,11,20,2,0.0,,1,1.0,8,1,3,2,4,4,2,1,1,2,2,1,2,2,1,1,2,3,1,2,,1,5,4,3,100,5000,3,1,2,4,2,2,1,2,2,2,2,2,4,40.64
138,2161,1,AV. SAN JERONIMO,AV. OJO DE AGUA,,1,23,7,09008,LOMAS DE SAN BERNABE,,,7,09008,LOMAS DE SAN BERNABE,,,2,6,8,30,8,50,2,0.0,,2,0.0,,2,2,2,4,1,2,1,1,2,2,1,2,2,2,1,2,1,2,2,,2,5,4,3,100,15000,5,1,2,2,2,2,1,2,2,2,2,2,4,8.66
140,2188,10,AV SAN LUIS CABRERA,AV PROLONGACION LAS TORRES,,1,13,1,09008,BARRIO SIERRA,,,7,09008,,,,2,9,12,25,12,38,2,0.0,,2,0.0,,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,9,1,2,,1,4,2,1,40,999999,9,1,2,4,2,2,1,2,2,2,2,2,3,12.2
139,2177,7,AVENIDA PALMAS,LOS COCOS,,1,22,1,09012,PEDREGAL,,,2,09008,EL ROSAL,,,8,1,13,0,13,45,1,8.0,4,2,0.0,,2,4,4,4,4,10,2,2,2,2,2,2,2,2,2,,,,2,,1,4,3,3,988888,5000,3,1,2,2,1,2,2,2,2,2,2,2,4,9.11
132,2110,13,AV. VILLA FRANQUEZA,1ER RETORNO DE VILLA FRANQUEZA,,1,32,1,09007,INSURGENTES,,,7,09007,DESARROLLO,,,4,4,10,15,11,0,1,1.0,4,1,1.0,6,1,4,4,4,4,1,2,1,2,2,1,2,2,2,1,2,6,2,1,1,2,3,2,6,150,3000,2,1,2,4,2,2,2,2,2,2,2,2,4,34.01
132,2142,46,AV. VILLA FRANQUEZA,1ER RETORNO DE VILLA FRANQUEZA,,1,50,2,09003,PASEOS DE TAXQUEÐA,,,1,09007,PALMITAS,,,3,2,16,30,18,30,1,2.0,4,2,0.0,,2,1,4,4,4,10,1,1,2,2,1,1,2,2,1,2,6,2,1,1,1,4,3,3,130,4000,3,1,2,2,2,2,1,2,2,2,2,2,4,34.01
132,2141,45,AV. VILLA FRANQUEZA,1ER RETORNO DE VILLA FRANQUEZA,,1,53,1,09007,DESARROLLO URBANO QUETZALCOATL,,,5,09007,SAN JOSE BUENAVISTA,,,5,5,18,0,18,20,2,0.0,,2,0.0,,2,4,4,4,8,8,1,1,2,2,1,1,2,1,1,1,2,2,2,,1,4,3,3,100,8000,4,1,2,4,2,2,2,2,2,2,2,2,4,34.01
132,2136,40,AV. VILLA FRANQUEZA,1ER RETORNO DE VILLA FRANQUEZA,,1,26,2,09007,DESARROLLO URBANO,,,1,09007,POLVORILLA,,,5,2,16,0,16,48,2,0.0,,2,0.0,,2,4,4,4,4,1,2,2,2,2,2,2,2,2,2,,,,2,,1,4,3,3,100,6000,3,1,2,4,2,2,2,2,2,2,2,2,4,34.01
151,2311,2,AV. CONSTITUYENTES,ACUEDUCTO,AV. DE LAS TORRES,1,50,1,09003,PEDREGAL STA URSULA,3 CUADRAS DEL ESTADIO AZTECA,POR TECNICA 67,2,09004,BOSQUES LAS LOMAS,EL EDIFICIO DEL PANTALON,POR EDIFICIO DE MAYA,3,8,10,30,11,50,1,1.0,3,2,0.0,,1,4,4,4,4,1,2,1,2,1,1,1,2,2,1,3,5,2,2,,1,5,4,3,600,8000,4,1,2,4,2,2,1,2,2,2,2,2,3,24.28
158,2385,7,SCHILLER,C. ELISEOS,MASARICK,1,20,2,09016,POLANCO,LA VICENTINA RESTAURANTE,,2,09016,POLANCO,,,5,8,15,20,15,50,1,1.0,4,1,1.0,8,1,4,4,4,4,2,2,1,2,2,2,2,2,2,2,,,,1,1,1,4,3,3,0,5000,3,1,2,2,1,1,1,2,2,2,2,2,4,99.05
148,2297,5,VOSGOS,AGUILAR Y SEJIAS,,1,27,2,09016,MIGUEL HIDALGO,GALERIA CUADROS,,1,09017,MAGDALENA MIXOCA,MERCADO DE JAMAICA,,4,2,11,5,12,40,1,1.0,2,2,0.0,,1,2,1,2,2,7,2,2,2,2,1,1,2,2,1,2,7,1,1,1,1,5,4,3,150,9000,4,1,2,1,2,2,1,2,2,2,2,2,4,16.77
146,2272,4,MARIANA NACIONAL,LAGUNA DE SAN CRISTOBAL,LAGO BALSEMA,1,55,1,09016,ANAHUAC,SANTA URSULA,,2,15057,ALCEBANCO,ZONA INDUSTRIAL,,2,1,8,50,9,30,2,0.0,,2,0.0,,8,1,1,1,2,2,1,2,2,2,1,1,2,1,2,,,,2,,1,5,3,1,100,5000,3,1,2,1,2,2,1,2,2,2,2,1,3,111.63
146,2279,12,AV. MARINA NACIONAL,LAGUNA DE SAN CRISTOBAL,LAGUNA DE TERMINOS,1,43,2,09016,HUICHAPAN,LA GASOLINERA,,2,09016,POPOTLA,OXXO,,4,8,14,15,14,48,2,0.0,,2,0.0,,1,1,1,2,4,2,1,1,1,1,1,1,2,2,2,,,,2,,1,4,2,2,25,3000,2,6,2,2,1,1,1,2,2,2,2,1,3,111.63
154,2332,5,REFORMA,CASTILLO DE WINDSOR,,1,14,1,09016,LOMAS REFORMA,REFORMA,CASTILLO DE WINDSOR,4,09016,LOMAS REFORMA,CASTILLO DE CHAPULTEPEC,REFORMA,4,4,16,34,16,52,2,0.0,,2,0.0,,2,1,1,1,1,1,2,1,2,2,1,2,2,2,1,2,98,1,2,,1,4,3,3,999999,1000,1,1,2,1,2,2,2,2,2,2,2,2,6,25.15
