Día de la semana,Día,Mes,Año,Fecha,Reforma,Revolución,Patriotismo,total
sabado,9,agosto,2014,2014-08-09,1598,0,0,1598
domingo,10,agosto,2014,2014-08-10,1228,0,0,1228
lunes,11,agosto,2014,2014-08-11,2091,0,0,2091
martes,12,agosto,2014,2014-08-12,1824,0,0,1824
miercoles,13,agosto,2014,2014-08-13,1857,0,0,1857
jueves,14,agosto,2014,2014-08-14,2166,0,0,2166
viernes,15,agosto,2014,2014-08-15,2204,0,0,2204
sabado,16,agosto,2014,2014-08-16,1472,0,0,1472
domingo,17,agosto,2014,2014-08-17,1289,0,0,1289
lunes,18,agosto,2014,2014-08-18,1589,0,0,1589
martes,19,agosto,2014,2014-08-19,221,0,0,221
miercoles,20,agosto,2014,2014-08-20,2309,0,0,2309
jueves,21,agosto,2014,2014-08-21,2431,0,0,2431
viernes,22,agosto,2014,2014-08-22,2427,0,0,2427
sabado,23,agosto,2014,2014-08-23,1221,0,0,1221
domingo,24,agosto,2014,2014-08-24,1136,0,0,1136
lunes,25,agosto,2014,2014-08-25,2371,0,0,2371
martes,26,agosto,2014,2014-08-26,2684,0,0,2684
miercoles,27,agosto,2014,2014-08-27,272,0,0,272
jueves,28,agosto,2014,2014-08-28,2928,0,0,2928
viernes,29,agosto,2014,2014-08-29,2653,0,0,2653
sabado,30,agosto,2014,2014-08-30,1355,0,0,1355
domingo,31,agosto,2014,2014-08-31,1199,0,0,1199
lunes,1,septiembre,2014,2014-09-01,1809,0,0,1809
martes,2,septiembre,2014,2014-09-02,1906,0,0,1906
miercoles,3,septiembre,2014,2014-09-03,1982,0,0,1982
jueves,4,septiembre,2014,2014-09-04,1849,0,0,1849
viernes,5,septiembre,2014,2014-09-05,2289,0,0,2289
sabado,6,septiembre,2014,2014-09-06,1471,0,0,1471
domingo,7,septiembre,2014,2014-09-07,1091,0,0,1091
lunes,8,septiembre,2014,2014-09-08,1967,0,0,1967
martes,9,septiembre,2014,2014-09-09,2174,0,0,2174
miercoles,10,septiembre,2014,2014-09-10,2272,0,0,2272
jueves,11,septiembre,2014,2014-09-11,2198,0,0,2198
viernes,12,septiembre,2014,2014-09-12,2063,0,0,2063
sabado,13,septiembre,2014,2014-09-13,1322,0,0,1322
domingo,14,septiembre,2014,2014-09-14,997,0,0,997
lunes,15,septiembre,2014,2014-09-15,1758,0,0,1758
martes,16,septiembre,2014,2014-09-16,988,0,0,988
miercoles,17,septiembre,2014,2014-09-17,2477,0,0,2477
jueves,18,septiembre,2014,2014-09-18,2731,0,0,2731
viernes,19,septiembre,2014,2014-09-19,2149,0,0,2149
sabado,20,septiembre,2014,2014-09-20,161,0,0,161
domingo,21,septiembre,2014,2014-09-21,117,0,0,117
lunes,22,septiembre,2014,2014-09-22,1879,0,0,1879
martes,23,septiembre,2014,2014-09-23,2288,0,0,2288
miercoles,24,septiembre,2014,2014-09-24,2417,0,0,2417
jueves,25,septiembre,2014,2014-09-25,2782,0,0,2782
viernes,26,septiembre,2014,2014-09-26,2552,0,0,2552
sabado,27,septiembre,2014,2014-09-27,1657,0,0,1657
domingo,28,septiembre,2014,2014-09-28,146,0,0,146
lunes,29,septiembre,2014,2014-09-29,1878,0,0,1878
martes,30,septiembre,2014,2014-09-30,2284,0,0,2284
miercoles,1,octubre,2014,2014-10-01,2748,0,0,2748
jueves,2,octubre,2014,2014-10-02,2434,0,0,2434
viernes,3,octubre,2014,2014-10-03,204,0,0,204
sabado,4,octubre,2014,2014-10-04,1147,0,0,1147
domingo,5,octubre,2014,2014-10-05,106,0,0,106
lunes,6,octubre,2014,2014-10-06,2155,0,0,2155
martes,7,octubre,2014,2014-10-07,2691,0,0,2691
miercoles,8,octubre,2014,2014-10-08,238,0,0,238
jueves,9,octubre,2014,2014-10-09,1849,0,0,1849
viernes,10,octubre,2014,2014-10-10,1992,0,0,1992
sabado,11,octubre,2014,2014-10-11,1298,0,0,1298
domingo,12,octubre,2014,2014-10-12,1016,0,0,1016
lunes,13,octubre,2014,2014-10-13,2393,0,0,2393
martes,14,octubre,2014,2014-10-14,2189,0,0,2189
miercoles,15,octubre,2014,2014-10-15,2594,0,0,2594
jueves,16,octubre,2014,2014-10-16,2423,0,0,2423
viernes,17,octubre,2014,2014-10-17,2479,0,0,2479
sabado,18,octubre,2014,2014-10-18,1093,0,0,1093
domingo,19,octubre,2014,2014-10-19,938,0,0,938
lunes,20,octubre,2014,2014-10-20,1848,0,0,1848
martes,21,octubre,2014,2014-10-21,2473,0,0,2473
miercoles,22,octubre,2014,2014-10-22,2385,0,0,2385
jueves,23,octubre,2014,2014-10-23,2729,0,0,2729
viernes,24,octubre,2014,2014-10-24,2452,0,0,2452
sabado,25,octubre,2014,2014-10-25,1436,0,0,1436
domingo,26,octubre,2014,2014-10-26,1299,0,0,1299
lunes,27,octubre,2014,2014-10-27,2562,0,0,2562
martes,28,octubre,2014,2014-10-28,2746,0,0,2746
miercoles,29,octubre,2014,2014-10-29,2739,0,0,2739
jueves,30,octubre,2014,2014-10-30,2799,0,0,2799
viernes,31,octubre,2014,2014-10-31,2745,0,0,2745
sabado,1,noviembre,2014,2014-11-01,1529,0,0,1529
domingo,2,noviembre,2014,2014-11-02,1005,0,0,1005
lunes,3,noviembre,2014,2014-11-03,2466,0,0,2466
martes,4,noviembre,2014,2014-11-04,2688,0,0,2688
miercoles,5,noviembre,2014,2014-11-05,2463,0,0,2463
jueves,6,noviembre,2014,2014-11-06,2865,0,0,2865
viernes,7,noviembre,2014,2014-11-07,2772,0,0,2772
sabado,8,noviembre,2014,2014-11-08,1559,0,0,1559
domingo,9,noviembre,2014,2014-11-09,1202,0,0,1202
lunes,10,noviembre,2014,2014-11-10,2593,0,0,2593
martes,11,noviembre,2014,2014-11-11,2265,0,0,2265
miercoles,12,noviembre,2014,2014-11-12,2679,0,0,2679
jueves,13,noviembre,2014,2014-11-13,2774,0,0,2774
viernes,14,noviembre,2014,2014-11-14,2147,0,0,2147
sabado,15,noviembre,2014,2014-11-15,1241,0,0,1241
domingo,16,noviembre,2014,2014-11-16,1019,0,0,1019
lunes,17,noviembre,2014,2014-11-17,12,0,0,12
martes,18,noviembre,2014,2014-11-18,2589,0,0,2589
miercoles,19,noviembre,2014,2014-11-19,2591,0,0,2591
jueves,20,noviembre,2014,2014-11-20,2325,0,0,2325
viernes,21,noviembre,2014,2014-11-21,2422,0,0,2422
sabado,22,noviembre,2014,2014-11-22,1457,0,0,1457
domingo,23,noviembre,2014,2014-11-23,1184,0,0,1184
lunes,24,noviembre,2014,2014-11-24,2623,0,0,2623
martes,25,noviembre,2014,2014-11-25,2643,0,0,2643
miercoles,26,noviembre,2014,2014-11-26,2645,0,0,2645
jueves,27,noviembre,2014,2014-11-27,2475,0,0,2475
viernes,28,noviembre,2014,2014-11-28,2544,0,0,2544
sabado,29,noviembre,2014,2014-11-29,122,0,0,122
domingo,30,noviembre,2014,2014-11-30,1374,0,0,1374
lunes,1,diciembre,2014,2014-12-01,2177,0,0,2177
martes,2,diciembre,2014,2014-12-02,2652,0,0,2652
miercoles,3,diciembre,2014,2014-12-03,2664,0,0,2664
jueves,4,diciembre,2014,2014-12-04,2412,0,0,2412
viernes,5,diciembre,2014,2014-12-05,2493,0,0,2493
sabado,6,diciembre,2014,2014-12-06,1324,0,0,1324
domingo,7,diciembre,2014,2014-12-07,939,0,0,939
lunes,8,diciembre,2014,2014-12-08,2329,0,0,2329
martes,9,diciembre,2014,2014-12-09,2569,0,0,2569
miercoles,10,diciembre,2014,2014-12-10,242,0,0,242
jueves,11,diciembre,2014,2014-12-11,2437,0,0,2437
viernes,12,diciembre,2014,2014-12-12,2082,0,0,2082
sabado,13,diciembre,2014,2014-12-13,1191,0,0,1191
domingo,14,diciembre,2014,2014-12-14,976,0,0,976
lunes,15,diciembre,2014,2014-12-15,2412,0,0,2412
martes,16,diciembre,2014,2014-12-16,2511,0,0,2511
miercoles,17,diciembre,2014,2014-12-17,2521,0,0,2521
jueves,18,diciembre,2014,2014-12-18,2488,0,0,2488
viernes,19,diciembre,2014,2014-12-19,2281,0,0,2281
sabado,20,diciembre,2014,2014-12-20,1209,0,0,1209
domingo,21,diciembre,2014,2014-12-21,943,0,0,943
lunes,22,diciembre,2014,2014-12-22,1879,0,0,1879
martes,23,diciembre,2014,2014-12-23,1976,0,0,1976
miercoles,24,diciembre,2014,2014-12-24,415,0,0,415
jueves,25,diciembre,2014,2014-12-25,649,0,0,649
viernes,26,diciembre,2014,2014-12-26,1472,0,0,1472
sabado,27,diciembre,2014,2014-12-27,1204,0,0,1204
domingo,28,diciembre,2014,2014-12-28,1225,0,0,1225
lunes,29,diciembre,2014,2014-12-29,1829,0,0,1829
martes,30,diciembre,2014,2014-12-30,1818,0,0,1818
miercoles,31,diciembre,2014,2014-12-31,1351,0,0,1351
jueves,1,enero,2015,2015-01-01,882,0,0,882
viernes,2,enero,2015,2015-01-02,1473,0,0,1473
sabado,3,enero,2015,2015-01-03,1114,0,0,1114
domingo,4,enero,2015,2015-01-04,1221,0,0,1221
lunes,5,enero,2015,2015-01-05,1803,0,0,1803
martes,6,enero,2015,2015-01-06,1879,0,0,1879
miercoles,7,enero,2015,2015-01-07,2321,0,0,2321
jueves,8,enero,2015,2015-01-08,2251,0,0,2251
viernes,9,enero,2015,2015-01-09,2229,0,0,2229
sabado,10,enero,2015,2015-01-10,1479,0,0,1479
domingo,11,enero,2015,2015-01-11,1338,0,0,1338
lunes,12,enero,2015,2015-01-12,2582,0,0,2582
martes,13,enero,2015,2015-01-13,2697,0,0,2697
miercoles,14,enero,2015,2015-01-14,2737,0,0,2737
jueves,15,enero,2015,2015-01-15,2798,0,0,2798
viernes,16,enero,2015,2015-01-16,2618,0,0,2618
sabado,17,enero,2015,2015-01-17,1701,0,0,1701
domingo,18,enero,2015,2015-01-18,129,0,0,129
lunes,19,enero,2015,2015-01-19,2616,0,0,2616
martes,20,enero,2015,2015-01-20,2908,0,0,2908
miercoles,21,enero,2015,2015-01-21,2874,0,0,2874
jueves,22,enero,2015,2015-01-22,2788,0,0,2788
viernes,23,enero,2015,2015-01-23,2769,0,0,2769
sabado,24,enero,2015,2015-01-24,147,0,0,147
domingo,25,enero,2015,2015-01-25,1477,0,0,1477
lunes,26,enero,2015,2015-01-26,2725,0,0,2725
